# # This is combined data for gamma_phi = 10^-3, 10^-4. Diff only, not ratio.
================================ 
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.723650947170466, 2, 4.723650947170466], meas_params:[0.2257536215492969, 0.2257536215492969], noise_params:[0.0001, 0.001, 12.998179218752497], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.723650947170466, 0.2257536215492969, 12.998179218752497], encoded_infidelity:0.002927154060979986, benchmark_infidelity:0.0025909973429890654, diff:0.00033615671799092084, leading_ec_infidelity:0.0016991024565843338, diff_leading:-0.001362945738593413
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.72702361047648, 2, 4.72702361047648], meas_params:[0.22601332633396326, 0.22601332633396326], noise_params:[0.0001, 0.001, 12.950272595551663], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.72702361047648, 0.22601332633396326, 12.950272595551663], encoded_infidelity:0.0029176366760039762, benchmark_infidelity:0.0025814795036097626, diff:0.0003361571723942136, leading_ec_infidelity:0.0016971570633982358, diff_leading:-0.0013609998910040222
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.366462821174455, 2, 4.366462821174455], meas_params:[0.2588262516748906, 0.2588262516748906], noise_params:[0.0002, 0.001, 6.800088026823396], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.366462821174455, 0.2588262516748906, 6.800088026823396], encoded_infidelity:0.003502252078735446, benchmark_infidelity:0.0015837624364420932, diff:0.0019184896422933528, leading_ec_infidelity:0.0024338926720300913, diff_leading:-0.0005154030297367385
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.360967036813036, 2, 4.360967036813036], meas_params:[0.2575557059724815, 0.2575557059724815], noise_params:[0.0002, 0.001, 6.904745077227639], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.360967036813036, 0.2575557059724815, 6.904745077227639], encoded_infidelity:0.003526355135834769, benchmark_infidelity:0.0016080917553490393, diff:0.0019182633804857296, leading_ec_infidelity:0.002436020307059472, diff_leading:-0.0005177569265737425
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.359290430673006, 2, 4.359290430673006], meas_params:[0.25658587598705496, 0.25658587598705496], noise_params:[0.0002, 0.001, 7.066386523107608], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.359290430673006, 0.25658587598705496, 7.066386523107608], encoded_infidelity:0.003564178104914162, benchmark_infidelity:0.0016456653550062095, diff:0.0019185127499079524, leading_ec_infidelity:0.002445232045502288, diff_leading:-0.0005267192955943356
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.330112361753995, 2, 4.330112361753995], meas_params:[0.25263605409430023, 0.25263605409430023], noise_params:[0.0002, 0.001, 7.075676753733237], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.330112361753995, 0.25263605409430023, 7.075676753733237], encoded_infidelity:0.0035685264473106493, benchmark_infidelity:0.0016478247715688843, diff:0.001920701675741765, leading_ec_infidelity:0.002422492686897648, diff_leading:-0.0005017910111558832
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.004324335077968, 2, 4.004324335077968], meas_params:[0.27072947850472345, 0.27072947850472345], noise_params:[0.0004, 0.001, 3.060178801058998], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.004324335077968, 0.27072947850472345, 3.060178801058998], encoded_infidelity:0.005164285120465295, benchmark_infidelity:0.0009171645910862614, diff:0.004247120529379034, leading_ec_infidelity:0.003887056901901609, diff_leading:0.00036006362747742493
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.010584507899291, 2, 4.010584507899291], meas_params:[0.2704658720840486, 0.2704658720840486], noise_params:[0.0004, 0.001, 2.9414894839727364], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.010584507899291, 0.2704658720840486, 2.9414894839727364], encoded_infidelity:0.005128661851202643, benchmark_infidelity:0.0008816254009179625, diff:0.00424703645028468, leading_ec_infidelity:0.003880421255983868, diff_leading:0.00036661519430081224
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.866260039625654, 3, 5.866260039625654], meas_params:[0.0366084836834254, 0.0366084836834254], noise_params:[5e-05, 0.001, 8.403971233388724], init_params:[4, 0.34906585039886584, 5], optimal_params:[5.866260039625654, 0.0366084836834254, 8.403971233388724], encoded_infidelity:0.0018263001329588135, benchmark_infidelity:0.0015374736983758686, diff:0.000288826434582945, leading_ec_infidelity:0.0012204695106339258, diff_leading:-0.0009316430760509808
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.023263330146712, 3, 6.023263330146712], meas_params:[0.025220616260375722, 0.025220616260375722], noise_params:[5e-05, 0.001, 10.666076827791152], init_params:[5, 0.34906585039886584, 10], optimal_params:[6.023263330146712, 0.025220616260375722, 10.666076827791152], encoded_infidelity:0.0023055076053731804, benchmark_infidelity:0.001950207374103896, diff:0.00035530023126928434, leading_ec_infidelity:0.0014229966979399933, diff_leading:-0.001067696466670709
