scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.3726789618414905, 1, 9], meas_params:[-0.1130849510990318, 0.001781563073214953], noise_params:[0.0002, 0, 9.6774407294829], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.3726789618414905,-0.1130849510990318,0.001781563073214953,9.6774407294829], encoded_infidelity:6.775540633852106e-05, benchmark_infidelity:0.0006446947026491623, diff:-0.0005769392963106412, ratio:0.10509688703831807
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.852714603561106, 1, 9], meas_params:[-0.0972424769348898, 0.002558255570941329], noise_params:[0.0002, 0, 21.23739544847829], init_params:[6, -0.34906585039886584, 0, 15], optimal_params:[4.852714603561106, -0.0972424769348898, 0.002558255570941329, 21.23739544847829], encoded_infidelity:0.0001968032458053992, benchmark_infidelity:0.0014135738865972414, diff:-0.0012167706407918422, ratio:0.13922388328716548
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.852714603561106, 1, 9], meas_params:[-0.0972424769348898, 0.002558255570941329], noise_params:[0.0002, 0, 21.23739544847829], init_params:[6, -0.34906585039886584, 0, 15], optimal_params:[4.852714603561106,-0.0972424769348898,0.002558255570941329,21.23739544847829], encoded_infidelity:0.0001968032458053992, benchmark_infidelity:0.0014135738865972414, diff:-0.0012167706407918422, ratio:0.13922388328716548
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.211150007268813, 1, 9], meas_params:[-0.1264936778573923, 0.0031912311301179486], noise_params:[0.0002, 0, 15.774678782154751], init_params:[8, -0.34906585039886584, 0, 20], optimal_params:[5.211150007268813, -0.1264936778573923, 0.0031912311301179486, 15.774678782154751], encoded_infidelity:0.0001354778553505076, benchmark_infidelity:0.0010504021392994112, diff:-0.0009149242839489036, ratio:0.12897713197810845
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.211150007268813, 1, 9], meas_params:[-0.1264936778573923, 0.0031912311301179486], noise_params:[0.0002, 0, 15.774678782154751], init_params:[8, -0.34906585039886584, 0, 20], optimal_params:[5.211150007268813,-0.1264936778573923,0.0031912311301179486,15.774678782154751], encoded_infidelity:0.0001354778553505076, benchmark_infidelity:0.0010504021392994112, diff:-0.0009149242839489036, ratio:0.12897713197810845
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.279220121195648, 1, 9], meas_params:[-0.11098164379880532, -0.002249131527369601], noise_params:[0.0004, 0, 2.744070169128963], init_params:[2, -0.34906585039886584, 0, 5], optimal_params:[5.279220121195648, -0.11098164379880532, -0.002249131527369601, 2.744070169128963], encoded_infidelity:0.00013310723318760154, benchmark_infidelity:0.0003657254700343282, diff:-0.00023261823684672667, ratio:0.3639539602617987
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.279220121195648, 1, 9], meas_params:[-0.11098164379880532, -0.002249131527369601], noise_params:[0.0004, 0, 2.744070169128963], init_params:[2, -0.34906585039886584, 0, 5], optimal_params:[5.279220121195648,-0.11098164379880532,-0.002249131527369601,2.744070169128963], encoded_infidelity:0.00013310723318760154, benchmark_infidelity:0.0003657254700343282, diff:-0.00023261823684672667, ratio:0.3639539602617987
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.000907011043237, 1, 9], meas_params:[-0.11288051210001629, 0.0015140353674270909], noise_params:[0.0004, 0, 8.373418141337979], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.000907011043237, -0.11288051210001629, 0.0015140353674270909, 8.373418141337979], encoded_infidelity:0.0002212604731944845, benchmark_infidelity:0.0011150547732237115, diff:-0.000893794300029227, ratio:0.19843013859740988
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.000907011043237, 1, 9], meas_params:[-0.11288051210001629, 0.0015140353674270909], noise_params:[0.0004, 0, 8.373418141337979], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.000907011043237,-0.11288051210001629,0.0015140353674270909,8.373418141337979], encoded_infidelity:0.0002212604731944845, benchmark_infidelity:0.0011150547732237115, diff:-0.000893794300029227, ratio:0.19843013859740988
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.143712494661427, 1, 9], meas_params:[-0.0686049959212302, 0.0014467901737446201], noise_params:[0.0004, 0, 24.810200044986786], init_params:[6, -0.34906585039886584, 0, 15], optimal_params:[4.143712494661427, -0.0686049959212302, 0.0014467901737446201, 24.810200044986786], encoded_infidelity:0.000943615834092193, benchmark_infidelity:0.003295749613879906, diff:-0.002352133779787713, ratio:0.28631296204001544
