scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.361931170287377, 1, 9], meas_params:[-0.2571178216529787, 0], noise_params:[0.0001, 0.00025118864315095795, 11.156444526282396], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.361931170287377, -0.2571178216529787, 11.156444526282396], encoded_infidelity:0.0003019128511631302, benchmark_infidelity:0.0008382006265933439, diff:-0.0005362877754302137, ratio:0.3601916314357569
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.1728839973665113, 1, 9], meas_params:[-0.08464031870562447, 0], noise_params:[0.0001, 0.00025118864315095795, 31.498864460547324], init_params:[6, -0.39269908169872414, 15], optimal_params:[3.1728839973665113, -0.08464031870562447, 31.498864460547324], encoded_infidelity:0.000945720879784276, benchmark_infidelity:0.002362739725298879, diff:-0.0014170188455146031, ratio:0.4002645190488111
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.250065021924813, 1, 9], meas_params:[-0.2736063676495658, 0], noise_params:[0.0002, 0.00025118864315095795, 7.226170492367418], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.250065021924813, -0.2736063676495658, 7.226170492367418], encoded_infidelity:0.0005183330752861729, benchmark_infidelity:0.0007836500428339832, diff:-0.00026531696754781035, ratio:0.6614343737054859
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.928313773306909, 1, 9], meas_params:[-0.23840463378807827, 0], noise_params:[0.0002, 0.00025118864315095795, 11.541507900218456], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.928313773306909, -0.23840463378807827, 11.541507900218456], encoded_infidelity:0.0008329584732046978, benchmark_infidelity:0.0012510439038831977, diff:-0.0004180854306784999, ratio:0.6658107446263261
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.709356952136724, 1, 9], meas_params:[-0.020723072839553214, 0], noise_params:[0.0002, 0.00025118864315095795, 41.35894920935236], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.709356952136724, -0.020723072839553214, 41.35894920935236], encoded_infidelity:0.0027297865525167334, benchmark_infidelity:0.004468595949956522, diff:-0.0017388093974397886, ratio:0.6108823852251161
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.0091317028292828, 1, 9], meas_params:[-0.17145724943443508, 0], noise_params:[0.0004, 0.00025118864315095795, 15.163779467698433], init_params:[2, -0.39269908169872414, 5], optimal_params:[3.0091317028292828, -0.17145724943443508, 15.163779467698433], encoded_infidelity:0.0026850822034937454, benchmark_infidelity:0.002649549734509815, diff:3.553246898393026e-05, ratio:1.013410757503861
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.224859526578255, 1, 9], meas_params:[-0.19815504942143702, 0], noise_params:[0.0004, 0.00025118864315095795, 14.507566591781632], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.224859526578255, -0.19815504942143702, 14.507566591781632], encoded_infidelity:0.0025673796448638176, benchmark_infidelity:0.0025351845123001704, diff:3.219513256364718e-05, ratio:1.0126993251999779
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.52559591151753, 1, 9], meas_params:[-0.04275064385335339, 0], noise_params:[0.0004, 0.00025118864315095795, 38.47910379779798], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.52559591151753, -0.04275064385335339, 38.47910379779798], encoded_infidelity:0.005713479321232035, benchmark_infidelity:0.006695773199225763, diff:-0.0009822938779937276, ratio:0.8532964231662878
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.216147420374444, 1, 9], meas_params:[-0.02352902580071697, 0], noise_params:[0.0008, 0.00025118864315095795, 41.59510179694996], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.216147420374444, -0.02352902580071697, 41.59510179694996], encoded_infidelity:0.013911799250304443, benchmark_infidelity:0.012663055350288666, diff:0.0012487439000157773, ratio:1.0986131597369437
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.2833071627959054, 1, 9], meas_params:[-0.029310196976553418, 0], noise_params:[0.0008, 0.00025118864315095795, 39.51895248068881], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.2833071627959054, -0.029310196976553418, 39.51895248068881], encoded_infidelity:0.013150947682981882, benchmark_infidelity:0.012039006981504397, diff:0.001111940701477486, ratio:1.0923614965242372
