scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.450818256655361, 1, 9], meas_params:[-0.08610135301259328, 0], noise_params:[0.0012, 0.00039810717055349735, 6.799031766803463], init_params:[4, -0.34906585039886584, 12], optimal_params:[4.450818256655361, -0.08610135301259328, 6.799031766803463], encoded_infidelity:0.002543932013204242, benchmark_infidelity:0.003160294119295748, diff:-0.0006163621060915059, ratio:0.8049668534557605
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.306571509743328, 1, 9], meas_params:[-0.0819800828745987, 0], noise_params:[0.0013, 0.00039810717055349735, 7.094322913130119], init_params:[4, -0.34906585039886584, 12], optimal_params:[4.306571509743328, -0.0819800828745987, 7.094322913130119], encoded_infidelity:0.002989723250546361, benchmark_infidelity:0.003531822190424805, diff:-0.0005420989398784437, ratio:0.8465101268834713
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.236983297957224, 1, 9], meas_params:[-0.0802770877914438, 0], noise_params:[0.0014, 0.00039810717055349735, 7.278076846576054], init_params:[4, -0.34906585039886584, 12], optimal_params:[4.236983297957224, -0.0802770877914438, 7.278076846576054], encoded_infidelity:0.0034187559325150607, benchmark_infidelity:0.003863602003117861, diff:-0.0004448460706028001, ratio:0.8848623460067013
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.131327860588778, 1, 9], meas_params:[-0.07629844597010002, 0], noise_params:[0.0015, 0.00039810717055349735, 7.59570440135741], init_params:[4, -0.34906585039886584, 12], optimal_params:[4.131327860588778, -0.07629844597010002, 7.59570440135741], encoded_infidelity:0.003943762335398837, benchmark_infidelity:0.004282419279951655, diff:-0.0003386569445528176, ratio:0.9209192462451643
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.041751343249684, 1, 9], meas_params:[-0.07281379808464021, 0], noise_params:[0.0016, 0.00039810717055349735, 7.700167311225892], init_params:[4, -0.34906585039886584, 12], optimal_params:[4.041751343249684, -0.07281379808464021, 7.700167311225892], encoded_infidelity:0.004387639202037552, benchmark_infidelity:0.004595235751157056, diff:-0.0002075965491195042, ratio:0.9548235258512618
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.9474336648154003, 1, 9], meas_params:[-0.06902665378129777, 0], noise_params:[0.0017, 0.00039810717055349735, 8.203679790067376], init_params:[4.5, -0.34906585039886584, 9], optimal_params:[3.9474336648154003, -0.06902665378129777, 8.203679790067376], encoded_infidelity:0.005092482641212759, benchmark_infidelity:0.005164633931479035, diff:-7.215129026627576e-05, ratio:0.9860297377851883
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.868403301197965, 1, 9], meas_params:[-0.06588159117746864, 0], noise_params:[0.0018, 0.00039810717055349735, 8.478636187379724], init_params:[3.9, 0, 9], optimal_params:[3.868403301197965, -0.06588159117746864, 8.478636187379724], encoded_infidelity:0.005703348794168339, benchmark_infidelity:0.005616010675156269, diff:8.733811901207034e-05, ratio:1.0155516298069787
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.8008665821064036, 1, 9], meas_params:[-0.06330285200308605, 0], noise_params:[0.0019, 0.00039810717055349735, 8.69558615464246], init_params:[3.8, -0.2, 9.5], optimal_params:[3.8008665821064036, -0.06330285200308605, 8.69558615464246], encoded_infidelity:0.006307573306148284, benchmark_infidelity:0.006044961164046403, diff:0.0002626121421018812, ratio:1.0434431479334918
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.742480528158401, 1, 9], meas_params:[-0.061211776497750545, 0], noise_params:[0.002, 0.00039810717055349735, 8.865044851507552], init_params:[3.7, -0.2, 10], optimal_params:[3.742480528158401, -0.061211776497750545, 8.865044851507552], encoded_infidelity:0.006904979643545972, benchmark_infidelity:0.00645342894092138, diff:0.0004515507026245924, ratio:1.069970663155721
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.934192910842304, 1, 9], meas_params:[-0.09704246104418537, 0], noise_params:[0.0008, 0.00039810717055349735, 6.158513670254661], init_params:[5, -0.1, 6], optimal_params:[4.934192910842304, -0.09704246104418537, 6.158513670254661], encoded_infidelity:0.0012445707921461269, benchmark_infidelity:0.002046609906111274, diff:-0.0008020391139651473, ratio:0.6081133431582538
